count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
1,1,PC,51.1,0.351,0.0,0.0,6.33,0.10297,17.5,56.5,27.39,0.0146,8.97,0.0091,0.0666,0.00013,24.66,0.0058,8.07,0.0046,0.0399,1e-05
2,5,PC,72.7,0.591,0.0,0.0,16.96,0.10297,17.5,95.5,34.22,0.0186,11.21,0.0112,0.0822,8e-05,30.8,0.0075,10.08,0.0056,0.0493,1e-05
3,2,PC,62.1,0.456,0.0,0.0,11.7,0.10297,17.5,54.4,27.03,0.0147,8.85,0.0089,0.065,6e-05,24.33,0.0059,7.97,0.0044,0.039,1e-05
4,10,PC,68.7,0.237,0.0,0.0,9.86,0.10297,17.5,9.1,19.1,0.0104,6.25,0.0063,0.0459,4e-05,17.19,0.0042,5.63,0.0031,0.0275,0.0
5,7,SUV,60.7,0.229,0.0,0.0,7.74,0.10297,22.14,-14.2,19.0,0.0107,6.22,0.0064,0.0465,5e-05,17.1,0.0043,5.6,0.0032,0.0279,1e-05
6,3,HV,83.7,0.508,0.0,0.0,18.42,0.10297,96.59,-67.7,31.22,0.017,10.22,0.0102,0.075,7e-05,28.1,0.0068,9.2,0.0051,0.045,1e-05
7,4,PC,65.3,0.33,0.0,0.0,10.49,0.10297,17.5,27.7,22.35,0.0136,7.29,0.0077,0.0523,0.00036,20.11,0.0063,6.56,0.0041,0.0317,4e-05
8,11,PC,52.9,-1.09,0.0,0.0,4.05,0.10297,17.5,-21.4,13.75,0.0061,4.5,0.0051,0.0363,0.00033,12.38,0.0024,4.05,0.0026,0.0218,3e-05
9,9,PC,77.3,0.173,0.0,0.0,8.97,0.10297,17.5,-5.4,16.57,0.009,5.42,0.0054,0.0398,4e-05,14.91,0.0036,4.88,0.0027,0.0239,0.0
10,40,PC,58.9,0.21,0.0,0.0,7.25,0.10297,17.5,-4.2,16.76,0.0091,5.49,0.0055,0.0403,4e-05,15.09,0.0037,4.94,0.0027,0.0242,0.0
