count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1;1;PC;51.1;0.351;0.0;0.0;6.33;0.1;17.0;56.5;26.6;0.0142;8.71;0.0089;0.0646;0.00013;23.94;0.0057;7.84;0.0044;0.0388;1,00E-05
2;5;PC;72.7;0.591;0.0;0.0;16.96;0.1;17.0;95.5;33.23;0.0181;10.88;0.0109;0.0799;8,00E-05;29.91;0.0072;9.79;0.0054;0.0479;1,00E-05
3;2;PC;62.1;0.456;0.0;0.0;11.7;0.1;17.0;54.4;26.25;0.0143;8.6;0.0086;0.0631;6,00E-05;23.63;0.0057;7.74;0.0043;0.0379;1,00E-05
4;10;PC;68.7;0.237;0.0;0.0;9.86;0.1;17.0;9.1;18.55;0.0101;6.07;0.0061;0.0446;4,00E-05;16.69;0.004;5.47;0.003;0.0267;0.0
5;7;SUV;60.7;0.229;0.0;0.0;7.74;0.1;21.5;-14.2;18.45;0.0104;6.04;0.0062;0.0452;5,00E-05;16.61;0.0042;5.44;0.0031;0.0271;1,00E-05
6;3;HV;83.7;0.508;0.0;0.0;18.42;0.1;93.8;-67.7;30.32;0.0165;9.93;0.0099;0.0728;7,00E-05;27.29;0.0066;8.94;0.005;0.0437;1,00E-05
7;4;PC;65.3;0.33;0.0;0.0;10.49;0.1;17.0;27.7;21.7;0.0133;7.08;0.0075;0.0508;0.00035;19.53;0.0061;6.37;0.004;0.0308;3,00E-05
8;11;PC;52.9;-1.09;0.0;0.0;4.05;0.1;17.0;-21.4;13.36;0.0059;4.37;0.005;0.0353;0.00032;12.02;0.0024;3.94;0.0025;0.0212;3,00E-05
9;9;PC;77.3;0.173;0.0;0.0;8.97;0.1;17.0;-5.4;16.09;0.0088;5.27;0.0053;0.0387;4,00E-05;14.48;0.0035;4.74;0.0026;0.0232;0.0
10;40;PC;58.9;0.21;0.0;0.0;7.25;0.1;17.0;-4.2;16.28;0.0089;5.33;0.0053;0.0391;4,00E-05;14.65;0.0035;4.8;0.0027;0.0235;0.0
11;18;PC;89.8;0.027;0.0;0.0;10.11;0.1;17.0;-0.4;16.93;0.0091;5.54;0.0057;0.0413;9,00E-05;15.24;0.0036;4.99;0.0028;0.0248;1,00E-05
12;22;PC;60.7;-0.276;0.0;0.0;4.53;0.1;17.0;-30.9;11.75;0.0057;3.85;0.0042;0.03;0.00018;10.58;0.0023;3.46;0.0021;0.018;2,00E-05
13;41;PC;70.4;-0.146;0.0;0.0;4.28;0.1;17.0;-46.7;9.06;0.0046;2.97;0.0031;0.0224;8,00E-05;8.15;0.0019;2.67;0.0015;0.0135;1,00E-05
14;43;LCV;40.1;-0.839;0.0;0.0;3.79;0.1;26.8;-29.9;18.78;0.0123;6.06;0.0079;0.0473;0.00093;16.9;0.0065;5.46;0.0045;0.0295;9,00E-05
15;50;PC;59.2;0.19;0.0;0.0;6.86;0.1;17.0;-10.2;15.27;0.0083;5.0;0.005;0.0367;4,00E-05;13.74;0.0033;4.5;0.0025;0.022;0.0
16;55;PC;60.0;0.014;0.0;0.0;4.68;0.1;17.0;-36.0;10.87;0.0058;3.56;0.0036;0.0264;5,00E-05;9.78;0.0023;3.2;0.0018;0.0158;1,00E-05
17;60;LCV;56.2;-0.729;0.0;0.0;3.59;0.1;26.8;-50.0;13.39;0.0082;4.3;0.0055;0.0327;0.00074;12.05;0.0046;3.87;0.0033;0.0208;7,00E-05
18;86;SUV;62.5;-0.449;0.0;0.0;5.99;0.1;21.5;-38.8;13.16;0.0065;4.31;0.0047;0.0334;0.00024;11.84;0.0027;3.87;0.0024;0.0201;2,00E-05
19;70;PC;71.8;0.15;0.0;0.0;7.62;0.1;17.0;-13.7;14.67;0.008;4.8;0.0048;0.0353;4,00E-05;13.2;0.0032;4.32;0.0024;0.0212;0.0
20;61;SUV;81.1;0.382;0.0;0.0;14.92;0.1;21.5;25.1;26.89;0.0151;8.81;0.009;0.0657;7,00E-05;24.2;0.0061;7.93;0.0045;0.0394;1,00E-05
21;84;PC;81.0;-0.013;0.0;0.0;6.51;0.1;17.0;-34.3;11.17;0.006;3.66;0.0037;0.0272;5,00E-05;10.05;0.0024;3.29;0.0019;0.0163;0.0
22;96;LCV;55.8;0.226;0.0;0.0;6.4;0.1;26.8;-20.4;21.34;0.0284;6.65;0.0119;0.0357;0.00356;19.2;0.0205;5.98;0.0083;0.025;0.00036
23;93;PC;84.4;0.005;0.0;0.0;8.11;0.1;17.0;-15.7;14.33;0.0075;4.69;0.0048;0.0351;0.0001;12.89;0.003;4.22;0.0024;0.0211;1,00E-05
24;90;PC;54.8;0.091;0.0;0.0;4.56;0.1;17.0;-29.4;12.0;0.0064;3.93;0.004;0.0292;7,00E-05;10.8;0.0025;3.54;0.002;0.0175;1,00E-05
25;143;PC;89.2;0.602;0.0;0.0;17.49;0.1;17.0;159.9;44.19;0.0238;14.47;0.0146;0.1068;0.00016;39.77;0.0095;13.02;0.0073;0.0641;2,00E-05
26;118;PC;66.1;-0.528;0.0;0.0;2.95;0.1;17.0;-52.6;8.06;0.0036;2.64;0.003;0.0212;0.00018;7.25;0.0014;2.37;0.0015;0.0127;2,00E-05
27;97;HV;54.4;0.029;0.0;0.0;6.42;0.1;93.8;-81.8;17.04;0.0162;5.43;0.0078;0.0351;0.00163;15.34;0.0104;4.89;0.005;0.0226;0.00016
28;122;PC;78.5;-0.069;0.0;0.0;7.24;0.1;17.0;-19.6;13.66;0.0072;4.47;0.0046;0.0334;9,00E-05;12.3;0.0029;4.03;0.0023;0.0201;1,00E-05
29;134;PC;59.1;0.075;0.0;0.0;4.77;0.1;17.0;-36.1;10.87;0.0066;3.55;0.0038;0.0255;0.00016;9.78;0.003;3.19;0.002;0.0155;2,00E-05
30;135;MBT;75.1;0.01;0.0;0.0;8.81;0.1;27.1;-40.5;16.13;0.0084;5.28;0.0055;0.0397;0.00013;14.52;0.0033;4.75;0.0027;0.0238;1,00E-05
31;124;LCV;49.9;-0.643;0.0;0.0;2.41;0.1;26.8;-58.8;11.05;0.0076;3.55;0.005;0.0267;0.00087;9.94;0.0046;3.2;0.0029;0.0168;9,00E-05
32;137;PC;72.9;0.178;0.0;0.0;8.25;0.1;17.0;-7.7;15.69;0.0086;5.14;0.0051;0.0377;4,00E-05;14.12;0.0034;4.62;0.0026;0.0226;0.0
33;150;PC;47.8;-0.134;0.0;0.0;1.62;0.1;17.0;-61.5;6.54;0.0027;2.14;0.0025;0.0176;0.00019;5.88;0.0011;1.93;0.0013;0.0106;2,00E-05
34;138;PC;66.8;0.063;0.0;0.0;5.29;0.1;17.0;-31.6;11.63;0.0062;3.81;0.0039;0.0283;6,00E-05;10.46;0.0025;3.43;0.0019;0.017;1,00E-05
35;157;PC;68.7;-0.227;0.0;0.0;4.09;0.1;17.0;-43.6;9.58;0.0047;3.14;0.0034;0.0245;0.00015;8.62;0.0019;2.82;0.0017;0.0147;1,00E-05
36;155;SUV;67.1;-0.491;0.0;0.0;13.1;0.1;21.5;10.2;23.69;0.0122;7.76;0.0081;0.0585;0.0002;21.32;0.0049;6.98;0.004;0.0351;2,00E-05
37;167;SUV;47.0;-0.035;0.0;0.0;2.51;0.1;21.5;-52.2;10.28;0.0098;3.27;0.0049;0.022;0.001;9.25;0.0063;2.95;0.0031;0.0143;0.0001
38;176;PC;62.7;0.096;0.0;0.0;5.28;0.1;17.0;-27.5;12.33;0.0065;4.04;0.0041;0.0301;7,00E-05;11.1;0.0026;3.63;0.0021;0.0181;1,00E-05
39;168;PC;62.5;0.226;0.0;0.0;7.27;0.1;17.0;7.4;18.25;0.0099;5.98;0.0061;0.0444;7,00E-05;16.43;0.0039;5.38;0.003;0.0266;1,00E-05
40;161;LCV;69.1;0.22;0.0;0.0;9.98;0.1;26.8;-18.4;21.86;0.0198;7.0;0.0095;0.0458;0.0017;19.68;0.0122;6.3;0.0059;0.0292;0.00017
41;181;PC;64.1;-0.908;0.0;0.0;7.41;0.1;17.0;11.6;18.97;0.014;6.1;0.008;0.0434;0.00124;17.07;0.0082;5.49;0.0048;0.0274;0.00012
42;165;PC;69.3;-0.074;0.0;0.0;4.09;0.1;17.0;-48.3;8.79;0.0045;2.88;0.003;0.0218;8,00E-05;7.92;0.0018;2.59;0.0015;0.0131;1,00E-05
43;164;PC;69.5;0.044;0.0;0.0;5.6;0.1;17.0;-36.8;10.75;0.0058;3.52;0.0036;0.026;4,00E-05;9.67;0.0023;3.17;0.0018;0.0156;0.0
44;173;PC;50.1;-0.899;0.0;0.0;4.76;0.1;17.0;-0.6;16.9;0.0093;5.5;0.0066;0.0425;0.00068;15.21;0.0046;4.95;0.0035;0.0259;7,00E-05
45;171;PC;65.8;0.104;0.0;0.0;5.99;0.1;17.0;-24.6;12.83;0.0069;4.2;0.0042;0.0311;5,00E-05;11.54;0.0028;3.78;0.0021;0.0186;1,00E-05
46;185;PC;50.6;-0.379;0.0;0.0;2.08;0.1;17.0;-49.8;8.53;0.0036;2.79;0.0032;0.0228;0.00023;7.68;0.0015;2.51;0.0016;0.0137;2,00E-05
47;182;SUV;75.3;0.034;0.0;0.0;6.39;0.1;21.5;-35.0;13.98;0.0079;4.58;0.0049;0.0351;8,00E-05;12.58;0.0032;4.12;0.0024;0.0211;1,00E-05
48;198;PC;67.7;0.08;0.0;0.0;6.25;0.1;17.0;-22.3;13.2;0.007;4.32;0.0044;0.0321;7,00E-05;11.88;0.0028;3.89;0.0022;0.0193;1,00E-05
49;204;PC;75.8;-0.04;0.0;0.0;5.95;0.1;17.0;-33.5;11.3;0.0059;3.7;0.0038;0.0277;8,00E-05;10.17;0.0024;3.33;0.0019;0.0166;1,00E-05
50;190;SUV;20.4;-0.189;0.0;0.0;6.18;0.1;21.5;18.6;25.5;0.0134;8.35;0.0091;0.065;0.00029;22.95;0.0054;7.51;0.0045;0.039;3,00E-05
51;216;SUV;52.0;-0.585;0.0;0.0;2.26;0.1;21.5;-56.0;9.46;0.0041;3.1;0.0036;0.0256;0.00027;8.51;0.0016;2.79;0.0018;0.0154;3,00E-05
52;231;PC;40.3;-0.349;0.0;0.0;1.23;0.1;17.0;-50.1;8.49;0.0028;2.78;0.0035;0.0245;0.00039;7.64;0.0011;2.5;0.0018;0.0147;4,00E-05
53;218;PC;43.5;-0.078;0.0;0.0;2.12;0.1;17.0;-60.3;6.75;0.0035;2.21;0.0023;0.0167;6,00E-05;6.08;0.0014;1.99;0.0012;0.01;1,00E-05
54;229;PC;53.9;-0.284;0.0;0.0;2.61;0.1;17.0;-44.8;9.39;0.0044;3.08;0.0035;0.0247;0.00019;8.45;0.0018;2.77;0.0017;0.0148;2,00E-05
55;202;PC;62.8;0.047;0.0;0.0;5.62;0.1;17.0;-22.6;13.16;0.0071;4.31;0.0044;0.0322;6,00E-05;11.84;0.0028;3.88;0.0022;0.0193;1,00E-05
56;213;LCV;68.6;-0.969;0.0;0.0;4.67;0.1;26.8;-50.0;13.4;0.0109;4.25;0.0062;0.0299;0.00126;12.06;0.0071;3.82;0.004;0.0199;0.00013
57;236;PC;45.4;-0.804;0.0;0.0;1.92;0.1;17.0;-41.2;9.99;0.0039;3.27;0.004;0.0276;0.00038;8.99;0.0016;2.94;0.002;0.0166;4,00E-05
58;239;SUV;71.9;0.333;0.0;0.0;14.6;0.1;21.5;27.1;27.34;0.0152;8.95;0.0092;0.0671;0.0001;24.6;0.0061;8.06;0.0046;0.0403;1,00E-05
59;248;PC;45.2;-0.159;0.0;0.0;2.62;0.1;17.0;-39.0;10.36;0.0046;3.39;0.0039;0.0273;0.00025;9.33;0.0018;3.05;0.0019;0.0164;2,00E-05
60;230;PC;62.9;0.054;0.0;0.0;4.77;0.1;17.0;-34.7;11.09;0.0059;3.63;0.0037;0.027;6,00E-05;9.98;0.0024;3.27;0.0019;0.0162;1,00E-05
61;245;PC;47.4;0.141;0.0;0.0;5.11;0.1;17.0;-22.7;13.14;0.007;4.3;0.0044;0.0319;6,00E-05;11.82;0.0028;3.87;0.0022;0.0191;1,00E-05
62;261;SUV;90.4;0.334;0.0;0.0;25.98;0.1;21.5;88.2;40.47;0.0237;13.25;0.0142;0.102;0.00017;36.42;0.0095;11.93;0.0071;0.0612;2,00E-05
63;250;SUV;43.4;-0.522;0.0;0.0;2.0;0.1;21.5;-51.6;10.4;0.0048;3.41;0.0041;0.0285;0.00027;9.36;0.0019;3.07;0.002;0.0171;3,00E-05
64;251;PC;68.4;0.195;0.0;0.0;12.14;0.1;17.0;30.6;22.21;0.0118;7.27;0.0074;0.0541;0.00011;19.99;0.0047;6.54;0.0037;0.0324;1,00E-05
65;277;PC;43.0;-0.62;0.0;0.0;4.63;0.1;17.0;2.6;17.44;0.008;5.71;0.0064;0.0454;0.00036;15.7;0.0032;5.14;0.0032;0.0272;4,00E-05
66;289;PC;43.6;0.21;0.0;0.0;5.28;0.1;17.0;-11.8;14.99;0.0082;4.91;0.0049;0.036;4,00E-05;13.49;0.0033;4.42;0.0025;0.0216;0.0
67;266;SUV;72.5;0.277;0.0;0.0;11.26;0.1;21.5;5.6;22.7;0.0129;7.43;0.0077;0.0559;6,00E-05;20.43;0.0052;6.69;0.0038;0.0335;1,00E-05
68;273;PC;72.0;0.2;0.0;0.0;8.65;0.1;17.0;-2.0;16.67;0.0091;5.46;0.0055;0.0401;4,00E-05;15.0;0.0036;4.91;0.0027;0.0241;0.0
69;295;PC;55.3;0.168;0.0;0.0;5.62;0.1;17.0;-19.2;13.73;0.0075;4.5;0.0045;0.033;3,00E-05;12.36;0.003;4.05;0.0023;0.0198;0.0
70;302;PC;41.8;-0.162;0.0;0.0;1.09;0.1;17.0;-66.4;5.71;0.0022;1.87;0.0023;0.0158;0.0002;5.14;0.0009;1.68;0.0011;0.0095;2,00E-05
71;313;PC;69.5;-0.477;0.0;0.0;4.91;0.1;17.0;-30.1;11.88;0.0056;3.89;0.0043;0.0306;0.00021;10.69;0.0022;3.5;0.0021;0.0184;2,00E-05
72;307;PC;64.5;0.243;0.0;0.0;7.4;0.1;17.0;1.8;17.3;0.0094;5.67;0.0057;0.0417;5,00E-05;15.57;0.0038;5.1;0.0028;0.025;0.0
73;315;PC;56.2;0.189;0.0;0.0;6.26;0.1;17.0;-12.9;14.81;0.008;4.85;0.0049;0.0357;4,00E-05;13.33;0.0032;4.37;0.0024;0.0214;0.0
74;309;PC;44.9;-0.531;0.0;0.0;2.75;0.1;17.0;-28.5;12.15;0.0052;3.98;0.0046;0.0324;0.00032;10.94;0.0021;3.58;0.0023;0.0194;3,00E-05
