frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
1,1,PC,homography,0.0,0.0,537,606
1,2,PC,homography,0.0,0.0,571,413
1,3,HV,homography,0.0,0.0,538,330
1,4,PC,homography,0.0,0.0,634,316
1,5,PC,homography,0.0,0.0,410,412
1,7,PC,homography,0.0,0.0,607,369
1,10,PC,homography,0.0,0.0,679,357
1,11,PC,homography,0.0,0.0,685,312
2,1,PC,homography,7.62,0.038,534,611
2,2,PC,homography,9.02,0.045,570,415
2,3,HV,homography,12.55,0.062,537,332
2,4,PC,homography,7.64,0.038,634,317
2,5,PC,homography,8.28,0.041,407,413
2,7,PC,homography,7.02,0.035,606,370
2,10,PC,homography,10.12,0.05,678,359
3,1,PC,homography,21.68,0.145,531,617
3,2,PC,homography,24.3,0.161,568,417
3,3,HV,homography,31.81,0.209,535,333
3,4,PC,homography,30.23,0.21,634,318
3,5,PC,homography,23.87,0.159,404,415
3,7,PC,homography,20.76,0.139,605,371
3,10,PC,homography,29.26,0.196,678,360
4,1,PC,homography,33.84,0.283,527,624
4,2,PC,homography,36.18,0.296,566,419
4,3,HV,homography,43.62,0.343,534,333
4,4,PC,homography,43.83,0.364,633,319
4,5,PC,homography,41.01,0.355,400,418
4,7,PC,homography,34.57,0.297,604,373
4,10,PC,homography,48.91,0.42,677,362
5,1,PC,homography,42.18,0.428,524,631
5,2,PC,homography,42.99,0.413,564,421
5,3,HV,homography,53.37,0.512,532,334
5,4,PC,homography,50.17,0.473,632,319
5,5,PC,homography,51.27,0.533,396,420
5,7,PC,homography,42.53,0.434,603,374
5,10,PC,homography,57.65,0.57,676,363
6,1,PC,homography,46.8,0.548,520,638
6,2,PC,homography,47.39,0.528,562,423
6,3,HV,homography,59.68,0.676,530,336
6,4,PC,homography,53.19,0.549,632,320
6,5,PC,homography,57.09,0.684,393,423
6,7,PC,homography,48.92,0.602,602,375
6,10,PC,homography,61.57,0.669,675,364
6,11,PC,homography,44.11,0.219,682,315
7,1,PC,homography,49.2,0.635,516,644
7,2,PC,homography,50.9,0.661,561,425
7,3,HV,homography,65.68,0.909,529,337
7,4,PC,homography,56.0,0.653,631,321
7,5,PC,homography,61.43,0.848,389,426
7,7,PC,homography,54.02,0.8,601,377
7,10,PC,homography,64.84,0.79,674,366
7,11,PC,homography,71.53,0.427,681,315
8,1,PC,homography,51.13,0.731,512,652
8,2,PC,homography,53.77,0.812,559,427
8,3,HV,homography,71.09,1.05,527,338
8,4,PC,homography,58.19,0.764,631,322
8,5,PC,homography,64.42,1.001,385,428
8,7,PC,homography,56.67,0.934,599,378
8,10,PC,homography,67.63,0.933,673,368
9,2,PC,homography,57.07,1.046,557,430
9,3,HV,homography,73.33,1.05,526,339
9,4,PC,homography,58.46,0.756,630,322
9,5,PC,homography,66.52,1.05,381,431
9,7,PC,homography,59.46,1.05,598,380
9,10,PC,homography,69.72,1.05,673,369
10,2,PC,homography,59.03,1.05,555,432
10,3,HV,homography,75.02,1.05,524,341
10,4,PC,homography,57.73,0.644,630,323
10,5,PC,homography,68.37,1.05,377,434
10,7,PC,homography,61.86,1.05,596,382
10,10,PC,homography,71.66,1.05,672,371
11,2,PC,homography,60.73,1.05,553,435
11,3,HV,homography,76.56,1.05,522,342
11,4,PC,homography,57.46,0.573,629,324
11,5,PC,homography,69.43,1.05,372,436
11,7,PC,homography,63.0,1.05,595,383
11,10,PC,homography,72.53,1.05,671,373
12,2,PC,homography,61.17,1.05,551,437
12,3,HV,homography,76.44,1.05,520,343
12,4,PC,homography,56.86,0.45,628,324
12,5,PC,homography,70.24,1.05,368,439
12,7,PC,homography,64.21,1.05,594,385
12,10,PC,homography,73.44,1.05,670,374
13,2,PC,homography,61.18,1.05,549,439
13,3,HV,homography,76.41,1.05,518,344
13,4,PC,homography,57.72,0.548,628,325
13,5,PC,homography,71.22,1.05,364,442
13,7,PC,homography,65.02,1.05,592,387
13,10,PC,homography,73.79,1.05,669,376
14,2,PC,homography,60.86,1.05,547,441
14,3,HV,homography,78.34,1.05,517,346
14,4,PC,homography,58.82,0.684,627,326
14,5,PC,homography,71.6,1.05,359,445
14,7,PC,homography,65.18,1.05,591,388
14,10,PC,homography,74.5,1.05,668,378
15,2,PC,homography,60.54,0.928,544,444
15,3,HV,homography,80.77,1.05,515,347
15,4,PC,homography,59.5,0.742,627,327
15,5,PC,homography,71.81,1.05,355,448
15,7,PC,homography,64.7,1.05,589,390
15,10,PC,homography,74.41,1.05,667,379
16,2,PC,homography,60.47,0.842,542,446
16,3,HV,homography,80.59,1.05,513,348
16,4,PC,homography,60.06,0.775,626,328
16,5,PC,homography,72.11,1.05,350,451
16,7,PC,homography,63.67,0.927,588,391
16,10,PC,homography,73.9,0.975,666,381
17,2,PC,homography,60.66,0.807,540,449
17,3,HV,homography,80.99,1.05,511,350
17,4,PC,homography,60.68,0.816,625,329
17,5,PC,homography,72.43,1.05,345,454
17,7,PC,homography,62.85,0.718,587,393
17,10,PC,homography,74.32,0.967,665,383
18,2,PC,homography,61.26,0.841,537,452
18,3,HV,homography,81.2,1.05,509,351
18,4,PC,homography,61.12,0.824,625,329
18,5,PC,homography,72.31,1.05,340,457
18,7,PC,homography,62.05,0.533,585,394
18,10,PC,homography,74.45,0.912,664,385
19,2,PC,homography,61.46,0.81,535,455
19,3,HV,homography,80.34,1.05,507,352
19,4,PC,homography,61.46,0.816,624,330
19,5,PC,homography,72.07,0.952,335,460
19,7,PC,homography,61.75,0.446,584,396
19,10,PC,homography,74.47,0.846,663,387
20,2,PC,homography,61.34,0.731,533,457
20,3,HV,homography,80.14,1.05,505,354
20,4,PC,homography,62.88,0.973,623,331
20,5,PC,homography,71.84,0.846,330,464
20,7,PC,homography,61.78,0.417,582,398
20,10,PC,homography,73.95,0.705,662,389
20,11,PC,homography,119.88,1.05,671,324
21,2,PC,homography,61.32,0.676,530,460
21,3,HV,homography,80.43,1.05,503,355
21,4,PC,homography,63.04,0.928,623,332
21,5,PC,homography,71.67,0.76,325,467
21,7,PC,homography,61.87,0.401,580,400
21,10,PC,homography,73.68,0.613,661,391
21,11,PC,homography,119.88,1.05,670,325
22,2,PC,homography,61.01,0.585,527,463
22,3,HV,homography,80.75,1.049,501,357
22,4,PC,homography,64.46,1.05,622,333
22,5,PC,homography,71.76,0.722,319,471
22,7,PC,homography,62.15,0.413,579,402
22,10,PC,homography,73.4,0.532,660,393
22,11,PC,homography,119.88,1.05,669,326
23,2,PC,homography,61.31,0.588,525,466
23,3,HV,homography,80.78,0.983,499,358
23,4,PC,homography,66.43,1.05,621,335
23,5,PC,homography,71.83,0.683,314,475
23,7,PC,homography,62.16,0.387,577,404
23,10,PC,homography,73.14,0.46,659,395
23,11,PC,homography,119.88,1.05,669,326
24,2,PC,homography,61.4,0.562,522,469
24,3,HV,homography,81.12,0.965,497,360
24,4,PC,homography,67.5,1.05,620,335
24,5,PC,homography,71.91,0.649,308,478
24,7,PC,homography,61.76,0.309,576,405
24,10,PC,homography,73.02,0.415,658,397
24,11,PC,homography,119.88,-0.414,668,327
25,2,PC,homography,61.63,0.557,520,473
25,3,HV,homography,81.54,0.96,495,362
