count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
1,1,PC,50.9,0.543,0.0,0.0,9.53,0.1012,17.2,101.8,34.72,0.0186,11.37,0.0115,0.0842,0.00015,31.25,0.0074,10.23,0.0058,0.0505,2e-05
2,16,LCV,1.3,-0.636,0.0,0.0,0.29,0.1012,27.12,6.6,28.91,0.011,9.01,0.014,0.0821,0.00274,26.02,0.0079,8.11,0.0098,0.0575,0.00027
3,3,MBT,4.6,0.034,0.0,0.0,0.13,0.1012,27.43,199.1,82.04,0.0134,26.86,0.0403,0.2686,0.00672,73.83,0.0054,24.18,0.0201,0.1612,0.00067
4,2,PC,14.5,0.021,0.0,0.0,0.7,0.1012,17.2,-37.9,10.68,0.0037,3.5,0.0044,0.0305,0.00047,9.61,0.0015,3.15,0.0022,0.0183,5e-05
5,4,LCV,13.0,0.242,0.0,0.0,1.19,0.1012,27.12,-14.1,23.3,0.0284,7.26,0.0128,0.0423,0.00368,20.97,0.0204,6.53,0.0089,0.0296,0.00037
6,12,PC,15.1,0.03,0.0,0.0,0.81,0.1012,17.2,-55.6,7.64,0.0035,2.5,0.0028,0.0198,0.00015,6.87,0.0014,2.25,0.0014,0.0119,1e-05
7,44,PC,57.8,0.406,0.0,0.0,9.22,0.1012,17.2,40.7,24.2,0.0134,7.93,0.008,0.0587,6e-05,21.78,0.0054,7.13,0.004,0.0352,1e-05
8,48,SUV,6.4,-0.051,0.0,0.0,0.23,0.1012,21.76,28.5,27.96,0.0063,9.05,0.0135,0.0881,0.00225,25.16,0.0032,8.15,0.0074,0.0547,0.00023
9,61,PC,53.9,-0.546,0.0,0.0,2.62,0.1012,17.2,-43.4,9.74,0.0042,3.19,0.0037,0.0259,0.00025,8.76,0.0017,2.87,0.0018,0.0155,2e-05
10,11,MBT,15.7,-0.098,0.0,0.0,0.58,0.1012,27.43,-52.6,13.01,0.0043,4.26,0.0055,0.0377,0.00062,11.71,0.0017,3.83,0.0027,0.0226,6e-05
11,8,HV,10.7,0.073,0.0,0.0,0.78,0.1012,94.93,-83.4,15.72,0.0055,5.15,0.0065,0.0448,0.00068,14.14,0.0022,4.63,0.0032,0.0269,7e-05
12,76,LCV,51.9,0.098,0.0,0.0,4.12,0.1012,27.12,-46.5,14.5,0.0193,4.52,0.0081,0.0243,0.00242,13.05,0.0139,4.07,0.0056,0.017,0.00024
13,58,MBT,18.3,-0.447,0.0,0.0,1.13,0.1012,27.43,-39.5,16.6,0.0065,5.42,0.0068,0.0461,0.00073,14.94,0.0028,4.87,0.0035,0.028,7e-05
14,10,LCV,6.3,0.019,0.0,0.0,0.28,0.1012,27.12,30.3,35.34,0.0141,11.02,0.0171,0.0995,0.00336,31.8,0.0101,9.92,0.0119,0.0695,0.00034
15,106,SUV,52.9,-0.637,0.0,0.0,2.36,0.1012,21.76,-47.1,11.5,0.0097,3.65,0.0058,0.0265,0.0013,10.35,0.0065,3.28,0.0037,0.0174,0.00013
16,23,SUV,13.7,-0.382,0.0,0.0,0.85,0.1012,21.76,-21.7,17.04,0.0065,5.57,0.0074,0.05,0.00086,15.34,0.0028,5.01,0.0038,0.0302,9e-05
17,18,PC,14.2,-0.161,0.0,0.0,0.35,0.1012,17.2,-40.5,10.24,0.0028,3.35,0.0046,0.031,0.00061,9.21,0.0011,3.02,0.0023,0.0186,6e-05
18,104,MBT,34.0,-0.018,0.0,0.0,2.52,0.1012,27.43,-65.2,9.56,0.0046,3.13,0.0034,0.0243,0.00014,8.6,0.0019,2.81,0.0017,0.0146,1e-05
19,7,LCV,5.8,0.007,0.0,0.0,0.3,0.1012,27.12,0.5,27.27,0.0088,8.83,0.0126,0.0819,0.00187,24.54,0.0044,7.94,0.0069,0.051,0.00019
20,135,PC,35.4,0.242,0.0,0.0,5.05,0.1012,17.2,-1.5,16.95,0.009,5.55,0.0057,0.0413,0.0001,15.26,0.0036,5.0,0.0028,0.0248,1e-05
21,47,PC,12.3,-0.167,0.0,0.0,0.4,0.1012,17.2,-49.0,8.78,0.0025,2.88,0.0038,0.0263,0.00049,7.9,0.001,2.59,0.0019,0.0158,5e-05
22,22,PC,13.0,-0.013,0.0,0.0,0.95,0.1012,17.2,-29.0,12.22,0.0047,4.0,0.0048,0.0339,0.00044,11.0,0.0019,3.6,0.0024,0.0203,4e-05
23,151,PC,41.8,0.264,0.0,0.0,5.55,0.1012,17.2,-1.7,16.91,0.0092,5.54,0.0055,0.0406,4e-05,15.22,0.0037,4.98,0.0028,0.0244,0.0
24,108,PC,9.7,-0.181,0.0,0.0,0.51,0.1012,17.2,-2.8,16.73,0.0041,5.48,0.0076,0.0517,0.00109,15.05,0.0016,4.93,0.0038,0.031,0.00011
25,67,LCV,6.9,0.035,0.0,0.0,0.33,0.1012,27.12,-18.8,22.02,0.011,6.86,0.0109,0.0593,0.00229,19.82,0.0079,6.17,0.0076,0.0415,0.00023
26,173,PC,41.7,-0.025,0.0,0.0,2.57,0.1012,17.2,-40.6,10.22,0.0051,3.35,0.0035,0.0256,0.00012,9.2,0.0021,3.01,0.0018,0.0153,1e-05
27,43,PC,10.8,-0.188,0.0,0.0,0.37,0.1012,17.2,-26.3,12.67,0.0031,4.15,0.0058,0.0392,0.00083,11.4,0.0012,3.73,0.0029,0.0235,8e-05
28,126,PC,9.1,-0.016,0.0,0.0,0.55,0.1012,17.2,-16.7,14.33,0.0039,4.69,0.0064,0.0433,0.00084,12.89,0.0016,4.22,0.0032,0.026,8e-05
