frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
1,1,PC,homography,0.0,0.0,916,585
1,2,PC,homography,0.0,0.0,729,468
1,3,MBT,homography,0.0,0.0,746,610
1,4,LCV,homography,0.0,0.0,530,531
1,7,SUV,homography,0.0,0.0,871,432
1,8,HV,homography,0.0,0.0,682,453
1,10,LCV,homography,0.0,0.0,832,480
1,11,MBT,homography,0.0,0.0,817,382
1,12,PC,homography,0.0,0.0,846,393
1,16,LCV,homography,0.0,0.0,914,392
1,18,PC,homography,0.0,0.0,863,331
2,1,PC,homography,6.51,0.032,914,591
2,2,PC,homography,2.84,0.014,728,470
2,3,MBT,homography,0.21,0.0,745,610
2,4,LCV,homography,0.91,0.005,528,532
2,7,SUV,homography,1.01,0.005,870,433
2,8,HV,homography,2.69,0.013,679,453
2,10,LCV,homography,0.22,0.0,832,480
2,11,MBT,homography,2.2,0.011,816,382
2,12,PC,homography,2.7,0.013,846,393
2,16,LCV,homography,0.73,0.004,914,393
3,1,PC,homography,18.38,0.122,911,596
3,2,PC,homography,7.66,0.051,727,471
3,3,MBT,homography,0.74,0.005,745,610
3,4,LCV,homography,3.38,0.023,527,533
3,7,SUV,homography,2.4,0.016,870,433
3,8,HV,homography,5.71,0.036,678,454
3,10,LCV,homography,1.16,0.008,832,480
3,11,MBT,homography,6.49,0.044,815,382
3,12,PC,homography,6.57,0.043,845,394
3,16,LCV,homography,2.98,0.021,913,393
4,1,PC,homography,29.95,0.254,908,604
4,2,PC,homography,11.7,0.097,725,472
4,3,MBT,homography,1.25,0.011,744,610
4,4,LCV,homography,4.63,0.038,525,533
4,7,SUV,homography,3.89,0.033,870,433
4,8,HV,homography,8.42,0.067,677,455
4,10,LCV,homography,2.1,0.019,832,480
4,11,MBT,homography,12.71,0.115,813,383
4,12,PC,homography,10.31,0.085,845,394
4,18,PC,homography,10.63,0.053,860,332
5,1,PC,homography,37.05,0.377,905,610
5,2,PC,homography,13.75,0.132,724,473
5,3,MBT,homography,1.61,0.017,744,611
5,4,LCV,homography,5.77,0.057,524,534
5,7,SUV,homography,4.61,0.045,869,433
5,8,HV,homography,10.76,0.108,676,456
5,10,LCV,homography,2.61,0.028,832,480
5,11,MBT,homography,15.86,0.17,813,384
5,12,PC,homography,13.15,0.135,844,395
5,18,PC,homography,21.75,0.137,859,332
6,1,PC,homography,41.95,0.505,901,618
6,2,PC,homography,15.2,0.17,722,474
6,3,MBT,homography,1.93,0.025,743,611
6,4,LCV,homography,6.74,0.083,522,535
6,7,SUV,homography,4.79,0.049,869,434
6,8,HV,homography,11.52,0.127,675,456
6,10,LCV,homography,3.27,0.045,832,481
6,11,MBT,homography,18.43,0.239,812,385
6,12,PC,homography,14.42,0.167,843,395
6,18,PC,homography,32.04,0.255,859,333
7,1,PC,homography,44.89,0.616,898,625
7,2,PC,homography,15.5,0.179,721,475
7,3,MBT,homography,2.17,0.035,743,611
7,4,LCV,homography,7.46,0.111,520,536
7,7,SUV,homography,4.87,0.051,869,434
7,8,HV,homography,11.95,0.143,674,457
7,10,LCV,homography,3.64,0.06,831,481
7,11,MBT,homography,21.33,0.354,810,386
7,12,PC,homography,15.18,0.195,843,396
7,18,PC,homography,37.25,0.344,858,334
8,1,PC,homography,46.65,0.702,894,633
8,2,PC,homography,15.74,0.188,719,476
