count_id,track_id,class,speed_kmh,accel_avg_mps2,vel_1_mps,vel_2_mps,vsp_kw_ton,vkt_km,tier1_co2_g,diff_co2_pct,e2_co2_g,e2_nox_g,e2_fuel_g,e2_hc_g,e2_co_g,e2_pm25_g,e5_co2_g,e5_nox_g,e5_fuel_g,e5_hc_g,e5_co_g,e5_pm25_g
1,44,PC,57.7,0.0,16.03,0.0,3.36,0.1012,17.2,-56.1,7.56,0.0041,2.47,0.0025,0.0181,2e-05,6.8,0.0016,2.23,0.0012,0.0109,0.0
2,61,PC,56.2,0.0,15.61,0.0,3.21,0.1012,17.2,-56.9,7.41,0.004,2.43,0.0024,0.0178,2e-05,6.67,0.0016,2.18,0.0012,0.0107,0.0
3,76,LCV,53.5,0.0,14.85,0.0,2.95,0.1012,27.12,-64.9,9.53,0.0127,2.97,0.0053,0.0159,0.00159,8.58,0.0092,2.67,0.0037,0.0111,0.00016
4,106,SUV,57.8,0.0,16.04,0.0,3.36,0.1012,21.76,-52.3,10.37,0.0064,3.4,0.0037,0.0265,3e-05,9.33,0.0025,3.06,0.0019,0.0159,0.0
5,23,SUV,18.7,0.0,5.21,0.0,0.73,0.1012,21.76,-68.1,6.93,0.0043,2.27,0.0025,0.0177,2e-05,6.24,0.0017,2.04,0.0012,0.0106,0.0
6,18,PC,14.3,0.0,3.97,0.0,0.54,0.1012,17.2,-71.3,4.93,0.0027,1.61,0.0016,0.0118,1e-05,4.44,0.0011,1.45,0.0008,0.0071,0.0
7,104,MBT,41.9,0.0,11.65,0.0,2.01,0.1012,27.43,-77.3,6.24,0.0034,2.04,0.002,0.015,1e-05,5.61,0.0014,1.84,0.001,0.009,0.0
8,47,PC,17.8,0.0,4.93,0.0,0.69,0.1012,17.2,-70.8,5.02,0.0027,1.65,0.0016,0.0121,1e-05,4.52,0.0011,1.48,0.0008,0.0072,0.0
9,22,PC,15.1,0.0,4.2,0.0,0.58,0.1012,17.2,-71.2,4.95,0.0027,1.62,0.0016,0.0119,1e-05,4.46,0.0011,1.46,0.0008,0.0071,0.0
10,135,PC,43.1,0.0,11.96,0.0,2.1,0.1012,17.2,-63.3,6.32,0.0034,2.07,0.0021,0.0152,1e-05,5.69,0.0014,1.86,0.001,0.0091,0.0
11,108,PC,17.3,0.0,4.79,0.0,0.67,0.1012,17.2,-70.9,5.01,0.0027,1.64,0.0016,0.012,1e-05,4.51,0.0011,1.48,0.0008,0.0072,0.0
12,151,PC,45.7,0.0,12.7,0.0,2.3,0.1012,17.2,-62.1,6.52,0.0036,2.13,0.0021,0.0156,1e-05,5.86,0.0014,1.92,0.0011,0.0094,0.0
13,43,PC,15.1,0.0,4.19,0.0,0.58,0.1012,17.2,-71.2,4.95,0.0027,1.62,0.0016,0.0119,1e-05,4.46,0.0011,1.46,0.0008,0.0071,0.0
14,126,PC,14.6,0.0,4.07,0.0,0.56,0.1012,17.2,-71.3,4.94,0.0027,1.62,0.0016,0.0119,1e-05,4.45,0.0011,1.46,0.0008,0.0071,0.0
15,173,PC,41.5,0.0,11.53,0.0,1.99,0.1012,17.2,-63.9,6.21,0.0034,2.03,0.002,0.0149,1e-05,5.59,0.0014,1.83,0.001,0.0089,0.0
16,81,PC,13.1,0.0,3.65,0.0,0.5,0.1012,17.2,-71.5,4.9,0.0027,1.61,0.0016,0.0118,1e-05,4.41,0.0011,1.45,0.0008,0.0071,0.0
17,218,PC,50.8,0.0,14.1,0.0,2.71,0.1012,17.2,-59.8,6.92,0.0038,2.27,0.0023,0.0166,2e-05,6.23,0.0015,2.04,0.0011,0.01,0.0
18,114,MBT,13.7,0.0,3.8,0.0,0.52,0.1012,27.43,-82.1,4.92,0.0027,1.61,0.0016,0.0118,1e-05,4.43,0.0011,1.45,0.0008,0.0071,0.0
19,231,PC,40.5,0.0,11.25,0.0,1.92,0.1012,17.2,-64.3,6.14,0.0034,2.01,0.002,0.0147,1e-05,5.53,0.0013,1.81,0.001,0.0088,0.0
20,119,PC,11.8,0.0,3.28,0.0,0.44,0.1012,17.2,-71.7,4.88,0.0027,1.6,0.0016,0.0117,1e-05,4.39,0.0011,1.44,0.0008,0.007,0.0
21,129,PC,7.4,0.0,2.06,0.0,0.27,0.1012,17.2,74.2,29.97,0.0049,9.81,0.0147,0.0981,0.00245,26.97,0.002,8.83,0.0074,0.0589,0.00025
22,251,SUV,43.4,0.0,12.06,0.0,2.12,0.1012,21.76,-60.0,8.7,0.0053,2.85,0.0031,0.0223,3e-05,7.83,0.0021,2.56,0.0016,0.0134,0.0
23,203,PC,12.9,0.0,3.59,0.0,0.49,0.1012,17.2,-71.5,4.9,0.0027,1.6,0.0016,0.0118,1e-05,4.41,0.0011,1.44,0.0008,0.0071,0.0
24,262,MBT,36.4,0.0,10.1,0.0,1.65,0.1012,27.43,-78.6,5.87,0.0032,1.92,0.0019,0.0141,1e-05,5.28,0.0013,1.73,0.001,0.0085,0.0
25,170,PC,7.7,0.0,2.14,0.0,0.29,0.1012,17.2,67.7,28.85,0.0047,9.45,0.0142,0.0945,0.00236,25.97,0.0019,8.5,0.0071,0.0567,0.00024
26,291,MBT,32.6,0.0,9.05,0.0,1.42,0.1012,27.43,-79.4,5.65,0.0031,1.85,0.0019,0.0136,1e-05,5.09,0.0012,1.67,0.0009,0.0081,0.0
27,167,MBT,10.1,0.0,2.82,0.0,0.38,0.1012,27.43,-82.3,4.85,0.0026,1.59,0.0016,0.0116,1e-05,4.36,0.0011,1.43,0.0008,0.007,0.0
28,317,LCV,32.3,0.0,8.96,0.0,1.4,0.1012,27.12,-72.3,7.5,0.01,2.34,0.0042,0.0125,0.00125,6.75,0.0072,2.1,0.0029,0.0088,0.00013
