frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
180,44,PC,linear_trap_event,57.7,0.0,881,603
234,61,PC,linear_trap_event,56.19,0.0,873,597
263,76,LCV,linear_trap_event,53.45,0.0,863,600
296,106,SUV,linear_trap_event,57.75,0.0,849,597
305,23,SUV,linear_trap_event,18.74,0.0,644,548
314,18,PC,linear_trap_event,14.28,0.0,535,522
370,104,MBT,linear_trap_event,41.93,0.0,856,595
387,47,PC,linear_trap_event,17.75,0.0,644,546
393,22,PC,linear_trap_event,15.12,0.0,540,523
412,135,PC,linear_trap_event,43.06,0.0,882,601
440,108,PC,linear_trap_event,17.25,0.0,625,542
466,151,PC,linear_trap_event,45.72,0.0,889,601
478,43,PC,linear_trap_event,15.1,0.0,540,523
528,126,PC,linear_trap_event,14.65,0.0,635,544
531,173,PC,linear_trap_event,41.52,0.0,868,597
588,81,PC,linear_trap_event,13.13,0.0,534,522
607,218,PC,linear_trap_event,50.75,0.0,869,601
636,114,MBT,linear_trap_event,13.68,0.0,653,548
669,231,PC,linear_trap_event,40.52,0.0,839,590
686,119,PC,linear_trap_event,11.81,0.0,542,524
692,129,PC,linear_trap_event,7.43,0.0,748,570
707,251,SUV,linear_trap_event,43.41,0.0,867,598
716,203,PC,linear_trap_event,12.91,0.0,653,549
767,262,MBT,linear_trap_event,36.38,0.0,847,592
800,170,PC,linear_trap_event,7.71,0.0,758,572
815,291,MBT,linear_trap_event,32.59,0.0,856,595
819,167,MBT,linear_trap_event,10.15,0.0,640,546
871,317,LCV,linear_trap_event,32.25,0.0,841,591
926,313,MBT,linear_trap_event,35.48,0.0,846,591
945,189,MBT,linear_trap_event,10.0,0.0,534,523
953,201,PC,linear_trap_event,7.9,0.0,649,547
959,349,PC,linear_trap_event,45.36,0.0,896,607
993,358,PC,linear_trap_event,44.6,0.0,906,604
1083,405,PC,linear_trap_event,29.0,0.0,883,602
1085,224,PC,linear_trap_event,8.47,0.0,542,524
1092,223,PC,linear_trap_event,7.15,0.0,645,547
1115,395,PC,linear_trap_event,31.61,0.0,890,604
1148,427,SUV,linear_trap_event,32.5,0.0,868,600
1155,235,PC,linear_trap_event,7.64,0.0,649,547
1194,429,PC,linear_trap_event,33.91,0.0,870,598
1218,239,MBT,linear_trap_event,10.79,-0.127,538,523
1247,371,PC,linear_trap_event,10.91,0.0,750,569
1266,475,LCV,linear_trap_event,33.6,0.0,840,591
1299,301,PC,linear_trap_event,8.86,0.0,544,524
1310,477,MBT,linear_trap_event,35.12,0.0,856,595
1361,539,HV,linear_trap_event,34.28,0.0,849,593
1389,322,LCV,linear_trap_event,9.56,0.0,536,523
1402,390,LCV,linear_trap_event,10.35,0.0,749,569
1437,529,MBT,linear_trap_event,31.85,0.0,854,592
1477,463,PC,linear_trap_event,10.4,0.0,542,525
1481,586,LCV,linear_trap_event,32.32,0.0,888,602
1500,504,PC,linear_trap_event,12.53,0.0,638,546
1528,595,PC,linear_trap_event,32.33,0.0,896,604
1585,554,PC,linear_trap_event,14.89,0.0,634,546
1628,553,PC,linear_trap_event,11.31,0.0,533,522
1698,556,PC,linear_trap_event,12.29,0.0,534,523
1704,660,PC,linear_trap_event,16.37,0.0,640,546
1746,742,PC,linear_trap_event,50.95,0.0,898,602
1776,579,LCV,linear_trap_event,11.92,0.0,545,525
1778,607,PC,linear_trap_event,11.98,0.0,791,578
1792,674,LCV,linear_trap_event,15.71,0.0,630,545
1814,760,MBT,linear_trap_event,38.18,0.0,887,601
1851,628,PC,linear_trap_event,11.9,0.0,540,523
1868,734,PC,linear_trap_event,17.12,0.0,634,544
1871,777,PC,linear_trap_event,37.83,0.0,915,609
1944,747,SUV,linear_trap_event,16.47,0.0,636,545
1994,736,PC,linear_trap_event,11.21,0.0,547,525
2026,810,LCV,linear_trap_event,29.39,0.0,845,590
2038,819,PC,linear_trap_event,38.53,0.0,937,610
2105,839,SUV,linear_trap_event,38.03,0.0,913,609
2120,743,LCV,linear_trap_event,9.9,0.0,540,523
2122,817,PC,linear_trap_event,16.14,0.0,620,541
2150,842,PC,linear_trap_event,43.05,0.0,911,607
2226,831,PC,linear_trap_event,15.24,0.0,630,543
2236,889,PC,linear_trap_event,44.59,0.0,904,605
2408,772,PC,linear_trap_event,6.4,0.0,539,523
2438,875,PC,linear_trap_event,9.12,0.0,637,545
2449,973,PC,linear_trap_event,38.64,0.0,834,591
2487,838,PC,linear_trap_event,6.73,0.0,741,567
2501,840,SUV,linear_trap_event,6.26,0.0,543,524
2504,887,MBT,linear_trap_event,8.83,0.0,650,547
2504,1003,LCV,linear_trap_event,42.78,0.0,884,600
2564,1011,PC,linear_trap_event,42.09,0.0,900,605
2571,853,PC,linear_trap_event,7.16,0.0,764,572
2596,1025,MBT,linear_trap_event,43.31,0.0,863,599
2609,855,HV,linear_trap_event,6.22,0.0,541,524
2633,871,MBT,linear_trap_event,9.92,0.0,655,549
2643,1041,MBT,linear_trap_event,42.3,0.0,856,594
2706,1068,PC,linear_trap_event,46.73,0.0,863,597
2736,976,PC,linear_trap_event,9.97,0.0,755,570
2743,971,SUV,linear_trap_event,9.95,0.0,641,546
2800,1104,MBT,linear_trap_event,52.16,0.0,911,608
2852,1008,PC,linear_trap_event,10.71,0.0,636,544
2933,1013,HV,linear_trap_event,11.54,0.0,668,552
2975,1071,SUV,linear_trap_event,8.62,0.0,764,573
2995,1161,PC,linear_trap_event,48.81,0.0,905,609
3044,1090,SUV,linear_trap_event,9.25,0.0,787,578
3074,1108,HV,linear_trap_event,13.61,0.0,645,548
3155,1112,PC,linear_trap_event,7.37,0.0,758,573
3159,1164,LCV,linear_trap_event,15.4,0.0,645,546
3189,1206,LCV,linear_trap_event,50.76,0.0,947,619
3204,1170,PC,linear_trap_event,16.72,0.0,852,592
3310,1183,LCV,linear_trap_event,13.92,0.0,820,585
3315,1204,LCV,linear_trap_event,16.29,0.0,651,548
3319,1220,LCV,linear_trap_event,29.05,0.0,913,608
3413,1225,PC,linear_trap_event,15.07,0.0,641,546
3484,1231,LCV,linear_trap_event,13.79,0.0,644,547
3534,1209,PC,linear_trap_event,8.06,0.0,531,522
3607,1240,HV,linear_trap_event,10.89,0.0,671,553
3614,1319,SUV,linear_trap_event,47.72,0.0,896,608
3669,1334,LCV,linear_trap_event,49.16,0.0,884,601
3846,1381,PC,linear_trap_event,41.17,0.0,930,609
3878,1388,LCV,linear_trap_event,40.33,0.0,932,609
3879,1371,PC,linear_trap_event,20.98,0.0,818,584
3948,1304,PC,linear_trap_event,7.85,0.0,646,547
3948,1322,PC,linear_trap_event,10.2,0.0,531,521
3969,1276,PC,linear_trap_event,5.89,0.0,759,571
4032,1341,SUV,linear_trap_event,8.36,0.0,633,545
4052,1423,SUV,linear_trap_event,27.05,0.0,841,591
4083,1385,LCV,linear_trap_event,9.53,0.0,536,523
4144,1428,MBT,linear_trap_event,22.75,0.0,861,594
4185,1390,PC,linear_trap_event,8.93,0.0,543,524
4185,1391,PC,linear_trap_event,9.16,0.0,644,547
4231,1315,PC,linear_trap_event,6.71,0.0,745,569
4257,1511,LCV,linear_trap_event,45.55,0.0,936,615
4368,1467,PC,linear_trap_event,10.74,0.0,633,544
4450,1454,PC,linear_trap_event,11.23,0.0,640,545
4483,1418,PC,linear_trap_event,6.57,0.0,536,523
4525,1473,SUV,linear_trap_event,7.9,0.0,733,566
4544,1554,PC,linear_trap_event,11.42,0.0,643,546
4621,1656,PC,linear_trap_event,38.77,0.0,919,610
4625,1441,PC,linear_trap_event,6.32,0.0,526,521
4655,1506,LCV,linear_trap_event,7.67,0.0,754,570
4685,1614,PC,linear_trap_event,12.22,0.0,639,547
4706,1491,PC,linear_trap_event,6.42,0.0,543,524
4737,1680,MBT,linear_trap_event,21.7,0.0,836,588
4842,1735,PC,linear_trap_event,46.69,0.0,916,609
4941,1791,PC,linear_trap_event,61.89,0.0,911,611
4995,1559,SUV,linear_trap_event,5.61,0.0,759,572
5113,1725,MBT,linear_trap_event,8.8,0.0,536,523
5125,1784,PC,linear_trap_event,12.09,0.0,635,544
5171,1773,LCV,linear_trap_event,9.32,0.0,768,573
5373,1812,HV,linear_trap_event,10.68,0.0,549,526
5395,1822,PC,linear_trap_event,7.71,0.0,745,569
5533,1971,PC,linear_trap_event,50.56,0.0,884,603
5607,1833,PC,linear_trap_event,5.83,0.0,755,571
5733,1842,PC,linear_trap_event,8.75,-0.08,749,572
5834,2002,MBT,linear_trap_event,15.86,0.0,643,546
5873,2026,SUV,linear_trap_event,18.37,0.0,518,520
5887,1919,PC,linear_trap_event,8.92,0.0,755,570
5897,2038,PC,linear_trap_event,20.05,0.0,632,544
5921,2008,MBT,linear_trap_event,20.58,0.0,558,529
5950,2062,PC,linear_trap_event,20.64,0.0,636,546
5982,2009,PC,linear_trap_event,8.57,0.0,747,569
5994,2069,SUV,linear_trap_event,23.99,0.0,540,524
6020,2083,PC,linear_trap_event,21.16,0.0,638,546
6046,2071,PC,linear_trap_event,13.14,0.0,765,573
6052,2084,PC,linear_trap_event,24.51,0.0,536,523
6066,2121,MBT,linear_trap_event,41.54,0.0,872,596
6108,2105,PC,linear_trap_event,20.48,0.0,645,547
6112,2107,SUV,linear_trap_event,24.24,0.0,537,525
6158,2122,PC,linear_trap_event,22.82,0.0,534,524
6209,2137,PC,linear_trap_event,20.08,0.0,629,546
6240,2134,PC,linear_trap_event,24.81,0.0,536,523
6255,2140,MBT,linear_trap_event,21.25,0.0,669,553
6255,2128,SUV,linear_trap_event,13.69,0.0,742,570
6278,2153,PC,linear_trap_event,24.33,0.0,572,532
6291,2179,PC,linear_trap_event,42.79,0.0,864,599
6320,2190,LCV,linear_trap_event,44.5,0.0,879,602
6321,2158,SUV,linear_trap_event,26.52,0.0,527,521
6344,2159,PC,linear_trap_event,18.64,0.0,640,545
6367,2195,MBT,linear_trap_event,39.12,0.0,850,596
6377,2166,PC,linear_trap_event,26.7,0.0,547,526
6388,2182,SUV,linear_trap_event,19.18,0.0,651,549
6401,2168,LCV,linear_trap_event,15.54,0.0,752,571
6423,2217,LCV,linear_trap_event,43.34,0.0,873,599
6456,2178,PC,linear_trap_event,26.26,0.019,532,523
6460,2183,SUV,linear_trap_event,15.53,0.0,764,573
6471,2192,PC,linear_trap_event,19.24,0.0,634,544
6521,2219,PC,linear_trap_event,17.4,0.0,642,546
6551,2234,LCV,linear_trap_event,22.11,0.0,548,525
6561,2242,PC,linear_trap_event,24.52,0.0,837,588
6594,2212,PC,linear_trap_event,16.09,0.0,636,544
6594,2240,SUV,linear_trap_event,22.69,0.0,529,522
6612,2222,PC,linear_trap_event,13.18,0.0,751,571
6614,2266,LCV,linear_trap_event,24.37,0.0,882,599
6663,2250,PC,linear_trap_event,15.96,0.0,642,546
6680,2283,LCV,linear_trap_event,20.19,0.0,549,527
6703,2248,PC,linear_trap_event,12.48,0.0,749,569
6734,2270,PC,linear_trap_event,16.53,0.0,639,545
6742,2343,PC,linear_trap_event,43.36,-0.034,875,600
6780,2280,PC,linear_trap_event,11.99,0.0,732,566
6797,2307,LCV,linear_trap_event,18.34,0.0,542,524
6798,2311,PC,linear_trap_event,15.06,0.0,640,546
6837,2325,LCV,linear_trap_event,12.67,0.0,750,571
6846,2353,LCV,linear_trap_event,18.19,0.0,540,524
6857,2364,PC,linear_trap_event,33.74,0.266,849,595
6884,2320,LCV,linear_trap_event,11.95,0.0,735,566
6901,2378,PC,linear_trap_event,35.46,0.498,878,601
6908,2328,HV,linear_trap_event,16.29,0.0,634,546
6921,2346,LCV,linear_trap_event,17.69,0.0,512,519
6962,2339,LCV,linear_trap_event,14.25,0.0,759,572
6973,2436,LCV,linear_trap_event,41.63,0.0,869,596
7029,2372,PC,linear_trap_event,14.2,0.0,644,547
7054,2395,PC,linear_trap_event,20.23,0.0,539,524
7097,2421,PC,linear_trap_event,17.35,0.0,753,570
7124,2427,PC,linear_trap_event,19.78,0.0,543,524
7136,2368,PC,linear_trap_event,14.49,-0.03,629,544
7152,2468,PC,linear_trap_event,17.93,0.0,737,567
7198,2465,SUV,linear_trap_event,19.59,0.0,540,523
7202,2482,LCV,linear_trap_event,26.54,0.0,831,589
7220,2445,LCV,linear_trap_event,13.79,0.0,656,549
7243,2519,LCV,linear_trap_event,33.22,0.0,911,606
7257,2456,PC,linear_trap_event,16.02,0.0,743,569
7289,2476,PC,linear_trap_event,17.76,0.0,545,524
7294,2489,PC,linear_trap_event,14.24,0.0,625,542
7294,2557,LCV,linear_trap_event,39.81,0.0,909,606
7325,2485,PC,linear_trap_event,16.47,0.0,750,569
7372,2473,LCV,linear_trap_event,15.36,0.0,642,547
7427,2556,SUV,linear_trap_event,14.11,0.0,746,569
7445,2548,LCV,linear_trap_event,15.15,0.0,645,546
