count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1;19;MBT;68.5;0.287;0.0;0.0;6.92;0.09452;25.61;-3.7;24.66;0.013;8.08;0.0083;0.0602;0.00015;22.2;0.0052;7.27;0.0041;0.0361;1,00E-05
2;18;LCV;87.0;0.756;0.0;0.0;23.23;0.09452;25.33;93.1;48.92;0.0438;15.67;0.021;0.1017;0.00371;44.03;0.0268;14.1;0.0129;0.0647;0.00037
3;1;MBT;89.5;0.614;0.0;0.0;24.51;0.09452;25.61;37.4;35.2;0.0192;11.53;0.0115;0.0846;8,00E-05;31.68;0.0077;10.37;0.0058;0.0507;1,00E-05
4;2;PC;48.2;0.415;0.0;0.0;8.39;0.09452;16.07;42.3;22.86;0.0124;7.48;0.0075;0.0551;7,00E-05;20.57;0.005;6.74;0.0038;0.0331;1,00E-05
5;4;PC;93.7;0.486;0.0;0.0;21.54;0.09452;16.07;84.8;29.69;0.0162;9.72;0.0097;0.0713;7,00E-05;26.72;0.0065;8.75;0.0049;0.0428;1,00E-05
6;5;PC;44.7;0.384;0.0;0.0;6.65;0.09452;16.07;28.5;20.65;0.0112;6.76;0.0068;0.0497;6,00E-05;18.59;0.0045;6.09;0.0034;0.0298;1,00E-05
7;8;PC;73.3;0.305;0.0;0.0;11.58;0.09452;16.07;25.4;20.15;0.011;6.6;0.0066;0.0484;5,00E-05;18.13;0.0044;5.94;0.0033;0.0291;0.0
8;6;PC;52.2;0.608;0.0;0.0;9.57;0.09452;16.07;87.4;30.11;0.0167;9.86;0.01;0.073;8,00E-05;27.1;0.0067;8.87;0.005;0.0438;1,00E-05
9;25;PC;37.0;0.469;0.0;0.0;8.48;0.09452;16.07;79.3;28.81;0.0153;9.43;0.0096;0.0701;0.00015;25.93;0.0061;8.49;0.0048;0.0421;1,00E-05
10;3;SUV;43.9;0.336;0.0;0.0;6.1;0.09452;20.32;0.4;20.41;0.0116;6.68;0.0069;0.0503;6,00E-05;18.37;0.0046;6.01;0.0035;0.0302;1,00E-05
11;21;PC;92.7;0.325;0.0;0.0;17.05;0.09452;16.07;44.6;23.24;0.0127;7.61;0.0076;0.0558;5,00E-05;20.91;0.0051;6.85;0.0038;0.0335;1,00E-05
12;10;PC;62.3;0.361;0.0;0.0;9.14;0.09452;16.07;26.7;20.35;0.0111;6.66;0.0067;0.0489;5,00E-05;18.32;0.0044;6.0;0.0033;0.0293;0.0
13;61;PC;108.6;0.634;0.0;0.0;20.59;0.09452;16.07;172.2;43.73;0.0237;14.32;0.0144;0.1053;0.00012;39.36;0.0095;12.89;0.0072;0.0632;1,00E-05
14;9;HV;41.9;0.097;0.0;0.0;3.37;0.09452;88.66;-88.0;10.64;0.0056;3.49;0.0036;0.0261;8,00E-05;9.58;0.0022;3.14;0.0018;0.0157;1,00E-05
15;64;SUV;67.2;0.278;0.0;0.0;10.34;0.09452;20.32;4.3;21.2;0.0122;6.94;0.0072;0.0523;6,00E-05;19.08;0.0049;6.25;0.0036;0.0314;1,00E-05
16;69;PC;73.7;0.293;0.0;0.0;12.24;0.09452;16.07;27.3;20.46;0.0112;6.7;0.0067;0.0492;5,00E-05;18.41;0.0045;6.03;0.0034;0.0295;0.0
17;82;PC;66.9;0.189;0.0;0.0;8.09;0.09452;16.07;-2.5;15.67;0.0102;5.1;0.0056;0.0362;0.00038;14.1;0.0049;4.59;0.003;0.022;4,00E-05
18;81;PC;74.2;-0.163;0.0;0.0;4.28;0.09452;16.07;-49.0;8.2;0.0041;2.68;0.0029;0.0206;0.0001;7.38;0.0016;2.42;0.0014;0.0124;1,00E-05
19;83;PC;76.1;0.374;0.0;0.0;13.52;0.09452;16.07;41.9;22.81;0.0124;7.47;0.0075;0.0548;5,00E-05;20.53;0.005;6.72;0.0037;0.0329;1,00E-05
20;78;PC;72.3;0.108;0.0;0.0;7.79;0.09452;16.07;-3.8;15.45;0.0088;5.05;0.0053;0.037;0.00018;13.91;0.0038;4.54;0.0027;0.0223;2,00E-05
21;100;PC;56.7;0.254;0.0;0.0;7.03;0.09452;16.07;5.3;16.93;0.0091;5.54;0.0056;0.0409;6,00E-05;15.23;0.0037;4.99;0.0028;0.0245;1,00E-05
22;74;MBT;73.4;0.254;0.0;0.0;11.27;0.09452;25.61;-24.8;19.26;0.013;6.26;0.007;0.044;0.00056;17.34;0.0065;5.63;0.0039;0.0269;6,00E-05
23;128;LCV;73.2;0.308;0.0;0.0;12.86;0.09452;25.33;24.3;31.5;0.0411;9.82;0.0174;0.0537;0.00514;28.35;0.0295;8.84;0.0121;0.0374;0.00051
24;37;LCV;42.3;0.039;0.0;0.0;2.62;0.09452;25.33;-62.0;9.64;0.008;3.09;0.0042;0.021;0.00072;8.67;0.0049;2.79;0.0025;0.0132;7,00E-05
25;101;SUV;66.8;0.431;0.0;0.0;15.43;0.09452;20.32;55.1;31.52;0.0185;10.32;0.0109;0.0787;9,00E-05;28.37;0.0074;9.29;0.0055;0.0472;1,00E-05
26;75;SUV;52.5;-0.334;0.0;0.0;2.77;0.09452;20.32;-46.4;10.89;0.0057;3.56;0.0041;0.0285;0.00025;9.8;0.0024;3.2;0.0021;0.0172;3,00E-05
27;62;PC;65.6;0.305;0.0;0.0;8.45;0.09452;16.07;15.6;18.57;0.0103;6.08;0.0061;0.0445;8,00E-05;16.71;0.0042;5.47;0.0031;0.0267;1,00E-05
28;94;PC;70.8;0.347;0.0;0.0;12.31;0.09452;16.07;35.8;21.82;0.0119;7.14;0.0072;0.0526;5,00E-05;19.63;0.0048;6.43;0.0036;0.0315;1,00E-05
29;88;PC;50.5;-0.206;0.0;0.0;2.92;0.09452;16.07;-41.4;9.42;0.0041;3.08;0.0035;0.0251;0.00024;8.48;0.0016;2.78;0.0018;0.015;2,00E-05
30;111;PC;76.9;0.197;0.0;0.0;10.4;0.09452;16.07;3.3;16.6;0.0091;5.44;0.0054;0.0399;4,00E-05;14.94;0.0036;4.89;0.0027;0.0239;0.0
31;106;LCV;50.0;-0.861;0.0;0.0;6.26;0.09452;25.33;-13.2;21.99;0.0119;7.17;0.0082;0.058;0.00032;19.79;0.0049;6.45;0.0043;0.0354;3,00E-05
32;93;LCV;62.0;0.14;0.0;0.0;6.37;0.09452;25.33;-44.0;14.18;0.0121;4.56;0.0059;0.0301;0.00094;12.77;0.0072;4.1;0.0036;0.019;9,00E-05
