frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
1,1,MBT,homography,0.0,0.0,904,318
1,2,PC,homography,0.0,0.0,1091,427
1,3,PC,homography,0.0,0.0,1144,318
1,4,PC,homography,0.0,0.0,1011,264
1,5,PC,homography,0.0,0.0,1053,375
1,6,PC,homography,0.0,0.0,1049,322
1,8,PC,homography,0.0,0.0,1056,269
1,9,HV,homography,0.0,0.0,1156,244
1,10,PC,homography,0.0,0.0,1114,268
1,18,MBT,homography,0.0,0.0,839,438
1,19,MBT,homography,0.0,0.0,815,368
2,1,MBT,homography,15.16,0.075,899,320
2,2,PC,homography,7.34,0.036,1089,430
2,3,PC,homography,6.65,0.033,1143,319
2,4,PC,homography,9.47,0.047,1009,265
2,5,PC,homography,5.72,0.028,1052,377
2,6,PC,homography,4.07,0.02,1048,323
2,8,PC,homography,6.51,0.032,1055,270
2,9,HV,homography,8.65,0.043,1155,244
2,10,PC,homography,13.29,0.066,1113,269
2,18,MBT,homography,13.68,0.068,831,445
2,19,MBT,homography,17.49,0.087,807,374
3,1,MBT,homography,38.08,0.249,895,323
3,2,PC,homography,19.74,0.131,1088,434
3,3,PC,homography,14.01,0.089,1143,320
3,4,PC,homography,30.52,0.207,1006,266
3,5,PC,homography,14.19,0.093,1051,379
3,6,PC,homography,9.1,0.058,1048,323
3,8,PC,homography,21.06,0.143,1053,271
3,9,HV,homography,25.83,0.173,1155,245
3,10,PC,homography,28.71,0.183,1112,270
3,18,LCV,homography,33.41,0.218,823,450
3,19,MBT,homography,38.07,0.243,799,377
4,1,MBT,homography,56.29,0.457,889,326
4,2,PC,homography,30.57,0.254,1086,438
4,3,PC,homography,22.23,0.182,1142,321
4,4,PC,homography,53.32,0.467,1004,268
4,5,PC,homography,20.51,0.165,1050,380
4,6,PC,homography,14.55,0.12,1047,324
4,8,PC,homography,40.09,0.36,1051,272
4,9,HV,homography,33.97,0.266,1155,246
4,10,PC,homography,37.03,0.277,1110,271
4,18,LCV,homography,48.87,0.394,814,456
4,19,MBT,homography,54.55,0.431,789,381
5,1,MBT,homography,70.88,0.71,883,330
5,2,PC,homography,37.62,0.376,1084,441
5,3,PC,homography,27.35,0.271,1141,322
5,4,PC,homography,67.84,0.719,1001,270
5,5,PC,homography,25.46,0.25,1049,382
5,6,PC,homography,19.62,0.209,1046,325
5,8,PC,homography,53.94,0.601,1049,274
5,9,HV,homography,35.74,0.295,1155,246
5,10,PC,homography,41.46,0.353,1109,272
5,18,LCV,homography,59.9,0.585,804,464
5,19,MBT,homography,68.48,0.672,779,387
6,1,MBT,homography,78.78,0.915,877,333
6,2,PC,homography,41.76,0.484,1081,445
6,3,PC,homography,30.84,0.363,1140,323
6,4,PC,homography,75.02,0.905,998,271
6,5,PC,homography,29.76,0.364,1048,385
6,6,PC,homography,23.69,0.317,1045,327
6,8,PC,homography,62.09,0.815,1047,275
6,9,HV,homography,35.25,0.278,1154,246
6,10,PC,homography,44.3,0.426,1108,272
6,18,HV,homography,66.17,0.747,794,471
7,1,MBT,homography,83.52,1.05,871,336
7,2,PC,homography,44.14,0.572,1079,449
7,3,PC,homography,32.25,0.413,1140,324
7,4,PC,homography,79.08,1.05,995,273
7,5,PC,homography,33.36,0.504,1047,387
7,6,PC,homography,25.71,0.393,1044,327
7,8,PC,homography,66.43,0.977,1045,276
7,9,HV,homography,36.24,0.313,1154,247
7,10,PC,homography,46.91,0.524,1106,273
7,18,HV,homography,71.1,0.935,784,480
8,1,MBT,homography,87.25,1.05,865,340
8,2,PC,homography,45.37,0.628,1076,452
8,3,PC,homography,33.23,0.459,1139,325
8,4,PC,homography,82.09,1.05,992,274
8,5,PC,homography,37.16,0.715,1046,390
8,6,PC,homography,27.09,0.464,1042,328
8,8,PC,homography,70.26,1.05,1043,278
8,9,HV,homography,36.02,0.291,1153,247
8,10,PC,homography,48.06,0.577,1105,274
8,18,HV,homography,73.77,1.05,773,487
9,1,MBT,homography,89.34,1.05,858,343
9,2,PC,homography,46.26,0.676,1074,456
9,3,PC,homography,34.21,0.52,1138,326
9,4,PC,homography,85.74,1.05,988,276
9,5,PC,homography,39.27,0.857,1044,393
9,6,PC,homography,28.23,0.537,1041,329
9,8,PC,homography,72.33,1.05,1041,279
9,9,HV,homography,37.66,0.411,1153,248
9,10,PC,homography,47.95,0.547,1103,275
10,1,MBT,homography,91.07,1.05,852,347
10,2,PC,homography,46.96,0.714,1071,460
10,3,PC,homography,34.71,0.546,1137,327
10,4,PC,homography,89.24,1.05,985,278
10,5,PC,homography,40.25,0.915,1043,395
10,6,PC,homography,29.18,0.608,1040,330
