count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1;1;MBT;83.8;0.0;23.28;0.0;6.89;0.09452;25.61;-61.1;9.96;0.0054;3.26;0.0033;0.0239;2,00E-05;8.96;0.0022;2.94;0.0016;0.0143;0.0
2;4;PC;86.3;0.0;23.98;0.0;7.33;0.09452;16.07;-35.9;10.3;0.0056;3.37;0.0034;0.0247;2,00E-05;9.27;0.0022;3.03;0.0017;0.0148;0.0
3;8;PC;67.5;0.0;18.76;0.0;4.47;0.09452;16.07;-50.1;8.03;0.0044;2.63;0.0026;0.0193;2,00E-05;7.22;0.0018;2.37;0.0013;0.0116;0.0
4;6;PC;40.8;0.0;11.32;0.0;1.93;0.09452;16.07;-64.2;5.75;0.0031;1.88;0.0019;0.0138;1,00E-05;5.17;0.0013;1.69;0.0009;0.0083;0.0
5;3;SUV;39.0;0.0;10.84;0.0;1.82;0.09452;20.32;-61.9;7.74;0.0047;2.53;0.0028;0.0198;2,00E-05;6.96;0.0019;2.28;0.0014;0.0119;0.0
6;21;PC;86.4;-0.102;24.06;23.92;4.65;0.09452;16.07;-59.4;6.52;0.0036;2.14;0.0021;0.0157;1,00E-05;5.87;0.0014;1.92;0.0011;0.0094;0.0
7;10;PC;55.3;0.0;15.35;0.0;3.12;0.09452;16.07;-57.4;6.84;0.0037;2.24;0.0022;0.0164;1,00E-05;6.16;0.0015;2.02;0.0011;0.0099;0.0
8;9;HV;38.2;-0.073;10.7;10.48;0.91;0.09452;88.66;-96.7;2.89;0.0016;0.95;0.0009;0.0069;1,00E-05;2.6;0.0006;0.85;0.0005;0.0042;0.0
9;64;SUV;62.5;0.0;17.35;0.0;3.87;0.09452;20.32;-49.3;10.3;0.0063;3.37;0.0037;0.0263;3,00E-05;9.27;0.0025;3.03;0.0018;0.0158;0.0
10;69;PC;68.7;0.095;19.01;19.17;6.61;0.09452;16.07;-27.3;11.67;0.0064;3.82;0.0038;0.028;3,00E-05;10.51;0.0025;3.44;0.0019;0.0168;0.0
11;82;PC;62.3;0.0;17.32;0.0;3.85;0.09452;16.07;-53.4;7.5;0.0041;2.45;0.0025;0.018;2,00E-05;6.75;0.0016;2.21;0.0012;0.0108;0.0
12;81;PC;68.8;0.0;19.12;0.0;4.63;0.09452;16.07;-49.2;8.16;0.0045;2.67;0.0027;0.0196;2,00E-05;7.35;0.0018;2.41;0.0013;0.0118;0.0
13;83;PC;69.5;0.141;19.2;19.43;7.71;0.09452;16.07;-16.3;13.45;0.0073;4.4;0.0044;0.0323;3,00E-05;12.11;0.0029;3.96;0.0022;0.0194;0.0
14;100;PC;50.5;0.0;14.04;0.0;2.69;0.09452;16.07;-59.9;6.45;0.0035;2.11;0.0021;0.0155;1,00E-05;5.8;0.0014;1.9;0.0011;0.0093;0.0
15;74;MBT;69.3;-0.145;19.36;19.12;1.62;0.09452;25.61;-88.9;2.83;0.0015;0.93;0.0009;0.0068;1,00E-05;2.55;0.0006;0.83;0.0005;0.0041;0.0
16;78;PC;60.8;0.071;16.83;16.97;5.0;0.09452;16.07;-38.0;9.96;0.0054;3.26;0.0033;0.0239;2,00E-05;8.97;0.0022;2.94;0.0016;0.0144;0.0
17;37;LCV;38.5;0.099;10.57;10.87;2.95;0.09452;25.33;-51.2;12.35;0.0165;3.85;0.0069;0.0206;0.00206;11.12;0.0119;3.46;0.0048;0.0144;0.00021
18;101;SUV;62.2;0.178;17.13;17.46;7.21;0.09452;20.32;-5.1;19.29;0.0118;6.32;0.0069;0.0493;6,00E-05;17.36;0.0047;5.68;0.0035;0.0296;1,00E-05
19;75;SUV;44.5;0.428;11.91;13.02;8.03;0.09452;20.32;47.5;29.97;0.0184;9.81;0.0107;0.0767;9,00E-05;26.98;0.0074;8.83;0.0054;0.046;1,00E-05
20;62;PC;55.2;0.752;14.68;16.25;15.79;0.09452;16.07;115.9;34.69;0.0189;11.36;0.0114;0.0833;8,00E-05;31.22;0.0076;10.22;0.0057;0.05;1,00E-05
21;94;PC;66.1;-0.062;18.41;18.3;3.04;0.09452;16.07;-65.3;5.58;0.003;1.83;0.0018;0.0134;1,00E-05;5.02;0.0012;1.64;0.0009;0.008;0.0
22;88;PC;49.6;-0.399;14.19;13.25;0.0;0.09452;16.07;-73.9;4.19;0.0007;1.37;0.0021;0.0137;0.00034;3.77;0.0003;1.24;0.001;0.0082;3,00E-05
23;111;PC;72.6;-0.139;20.27;20.05;2.06;0.09452;16.07;-78.6;3.45;0.0019;1.13;0.0011;0.0083;1,00E-05;3.1;0.0008;1.02;0.0006;0.005;0.0
24;106;LCV;51.7;0.379;14.0;14.85;8.77;0.09452;25.33;8.1;27.38;0.0366;8.53;0.0152;0.0457;0.00457;24.64;0.0263;7.68;0.0107;0.032;0.00046
25;93;LCV;56.6;0.223;15.54;15.99;7.11;0.09452;25.33;-20.0;20.26;0.0271;6.31;0.0113;0.0338;0.00338;18.23;0.0195;5.68;0.0079;0.0237;0.00034
26;135;PC;76.0;-0.276;21.3;20.88;0.0;0.09452;16.07;-83.0;2.73;0.0004;0.9;0.0013;0.009;0.00022;2.46;0.0002;0.81;0.0007;0.0054;2,00E-05
27;159;PC;81.2;-0.845;23.09;21.89;0.0;0.09452;16.07;-84.1;2.56;0.0004;0.84;0.0013;0.0084;0.00021;2.3;0.0002;0.75;0.0006;0.005;2,00E-05
28;137;PC;51.7;-0.025;14.39;14.34;2.4;0.09452;16.07;-65.1;5.62;0.0031;1.84;0.0018;0.0135;1,00E-05;5.05;0.0012;1.65;0.0009;0.0081;0.0
29;146;LCV;57.5;0.112;15.88;16.11;5.32;0.09452;25.33;-41.1;14.91;0.0199;4.65;0.0083;0.0249;0.00249;13.42;0.0143;4.18;0.0058;0.0174;0.00025
30;132;SUV;54.2;-0.202;15.25;14.82;0.0;0.09452;20.32;-81.1;3.83;0.0006;1.26;0.0019;0.0126;0.00031;3.45;0.0003;1.13;0.0009;0.0075;3,00E-05
31;170;LCV;70.6;-0.151;19.72;19.47;1.6;0.09452;25.33;-85.5;3.66;0.0049;1.14;0.002;0.0061;0.00061;3.3;0.0035;1.03;0.0014;0.0043;6,00E-05
32;201;PC;84.7;-0.086;23.57;23.45;4.8;0.09452;16.07;-57.3;6.87;0.0037;2.25;0.0022;0.0165;1,00E-05;6.18;0.0015;2.02;0.0011;0.0099;0.0
33;197;LCV;52.7;-0.175;14.81;14.42;0.06;0.09452;25.33;-83.6;4.15;0.0006;1.29;0.0019;0.0129;0.00032;3.73;0.0005;1.16;0.0014;0.009;3,00E-05
34;196;PC;65.0;0.164;17.92;18.21;7.4;0.09452;16.07;-14.0;13.82;0.0075;4.52;0.0045;0.0332;3,00E-05;12.43;0.003;4.07;0.0023;0.0199;0.0
35;222;SUV;67.1;-0.313;18.89;18.35;0.0;0.09452;20.32;-84.8;3.1;0.0005;1.01;0.0015;0.0101;0.00025;2.79;0.0002;0.91;0.0008;0.0061;3,00E-05
36;210;PC;55.6;-0.433;15.84;14.94;0.0;0.09452;16.07;-76.7;3.74;0.0006;1.22;0.0018;0.0122;0.00031;3.37;0.0002;1.1;0.0009;0.0073;3,00E-05
37;233;PC;69.2;0.172;19.11;19.4;8.33;0.09452;16.07;-9.2;14.58;0.008;4.78;0.0048;0.035;3,00E-05;13.12;0.0032;4.3;0.0024;0.021;0.0
38;246;PC;60.8;0.039;16.86;16.93;4.4;0.09452;16.07;-45.4;8.78;0.0048;2.87;0.0029;0.0211;2,00E-05;7.9;0.0019;2.59;0.0014;0.0126;0.0
39;250;PC;69.0;0.016;19.17;19.19;4.99;0.09452;16.07;-45.5;8.76;0.0048;2.87;0.0029;0.021;2,00E-05;7.89;0.0019;2.58;0.0014;0.0126;0.0
40;251;PC;77.3;0.217;21.33;21.66;10.94;0.09452;16.07;6.8;17.16;0.0094;5.62;0.0056;0.0412;4,00E-05;15.45;0.0037;5.06;0.0028;0.0247;0.0
41;253;PC;60.5;0.031;16.78;16.84;4.22;0.09452;16.07;-47.3;8.46;0.0046;2.77;0.0028;0.0203;2,00E-05;7.62;0.0018;2.49;0.0014;0.0122;0.0
42;261;PC;78.0;0.13;21.6;21.79;9.04;0.09452;16.07;-12.6;14.04;0.0077;4.6;0.0046;0.0337;3,00E-05;12.64;0.0031;4.14;0.0023;0.0202;0.0
43;276;PC;82.3;-0.092;22.91;22.78;4.3;0.09452;16.07;-60.6;6.33;0.0035;2.07;0.0021;0.0152;1,00E-05;5.7;0.0014;1.87;0.001;0.0091;0.0
