frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
36,1,MBT,linear_trap_event,83.82,0.0,548,516
62,4,PC,linear_trap_event,86.34,0.0,570,516
79,8,PC,linear_trap_event,67.55,0.0,663,544
89,6,PC,linear_trap_event,40.76,0.0,791,574
101,3,SUV,linear_trap_event,39.02,0.0,957,620
104,21,PC,linear_trap_event,86.39,-0.102,548,508
109,10,PC,linear_trap_event,55.26,0.0,685,542
194,9,HV,linear_trap_event,38.18,-0.073,978,630
207,64,SUV,linear_trap_event,62.48,0.0,682,542
223,69,PC,linear_trap_event,68.69,0.095,574,517
233,82,PC,linear_trap_event,62.34,0.0,681,543
238,81,PC,linear_trap_event,68.82,0.0,557,508
254,83,PC,linear_trap_event,69.48,0.141,553,512
272,100,PC,linear_trap_event,50.53,0.0,809,577
274,74,MBT,linear_trap_event,69.31,-0.145,580,517
274,78,PC,linear_trap_event,60.8,0.071,652,539
283,37,LCV,linear_trap_event,38.51,0.099,949,620
295,101,SUV,linear_trap_event,62.19,0.178,672,545
307,75,SUV,linear_trap_event,44.53,0.428,806,579
323,62,PC,linear_trap_event,55.17,0.752,695,552
326,94,PC,linear_trap_event,66.09,-0.062,561,510
331,88,PC,linear_trap_event,49.55,-0.399,841,585
348,111,PC,linear_trap_event,72.64,-0.139,568,509
359,106,LCV,linear_trap_event,51.68,0.379,943,617
367,93,LCV,linear_trap_event,56.64,0.223,679,546
381,135,PC,linear_trap_event,76.01,-0.276,567,508
392,159,PC,linear_trap_event,81.19,-0.845,569,517
395,137,PC,linear_trap_event,51.72,-0.025,939,619
408,146,LCV,linear_trap_event,57.52,0.112,801,583
447,132,SUV,linear_trap_event,54.23,-0.202,927,619
461,170,LCV,linear_trap_event,70.59,-0.151,760,575
470,201,PC,linear_trap_event,84.66,-0.086,566,507
504,197,LCV,linear_trap_event,52.69,-0.175,934,613
524,196,PC,linear_trap_event,64.97,0.164,694,543
534,222,SUV,linear_trap_event,67.15,-0.313,795,583
547,210,PC,linear_trap_event,55.57,-0.433,941,618
557,233,PC,linear_trap_event,69.25,0.172,812,579
589,246,PC,linear_trap_event,60.81,0.039,693,543
591,250,PC,linear_trap_event,69.04,0.016,801,577
615,251,PC,linear_trap_event,77.3,0.217,948,618
617,253,PC,linear_trap_event,60.51,0.031,683,548
621,261,PC,linear_trap_event,78.05,0.13,570,518
646,276,PC,linear_trap_event,82.27,-0.092,574,518
685,259,PC,linear_trap_event,59.86,0.093,793,575
713,318,PC,linear_trap_event,85.76,0.0,572,514
718,281,MBT,linear_trap_event,65.09,0.097,679,540
725,284,PC,linear_trap_event,60.11,-0.149,810,578
733,289,PC,linear_trap_event,66.63,0.022,952,621
747,298,PC,linear_trap_event,65.67,0.118,674,545
754,320,PC,linear_trap_event,85.52,-0.59,552,516
776,313,HV,linear_trap_event,67.08,-0.457,704,548
801,354,PC,linear_trap_event,91.73,0.0,547,513
846,328,PC,linear_trap_event,72.83,0.271,675,549
893,322,LCV,linear_trap_event,56.13,-0.085,920,619
926,350,PC,linear_trap_event,70.47,0.191,686,548
958,387,PC,linear_trap_event,80.44,0.37,748,574
969,364,PC,linear_trap_event,66.37,0.005,913,616
978,359,PC,linear_trap_event,60.09,0.121,803,579
1020,402,PC,linear_trap_event,96.98,1.093,585,513
1034,406,PC,linear_trap_event,65.6,0.271,793,579
1053,420,PC,linear_trap_event,92.41,-0.116,569,510
1088,407,LCV,linear_trap_event,58.28,-0.027,796,585
1089,421,PC,linear_trap_event,70.08,0.161,932,619
1120,432,PC,linear_trap_event,75.02,0.261,681,541
1164,431,PC,linear_trap_event,60.6,-0.11,802,589
1192,428,LCV,linear_trap_event,63.3,0.085,953,617
1221,452,PC,linear_trap_event,73.91,0.932,673,539
1243,462,PC,linear_trap_event,58.46,0.543,937,616
1264,473,PC,linear_trap_event,89.27,0.102,559,510
1331,478,PC,linear_trap_event,70.57,0.118,685,554
1353,502,LCV,linear_trap_event,71.64,0.064,678,539
1368,477,LCV,linear_trap_event,58.81,0.055,827,585
1386,511,SUV,linear_trap_event,60.99,-0.025,943,624
1395,525,PC,linear_trap_event,89.02,-0.258,576,519
1415,514,PC,linear_trap_event,61.94,0.076,811,578
1433,518,PC,linear_trap_event,76.13,0.161,680,545
1479,537,PC,linear_trap_event,73.2,0.477,809,577
1506,565,SUV,linear_trap_event,71.82,-0.008,677,539
1513,577,PC,linear_trap_event,83.53,0.0,552,519
