count_id;track_id;class;speed_kmh;accel_avg_mps2;vel_1_mps;vel_2_mps;vsp_kw_ton;vkt_km;tier1_co2_g;diff_co2_pct;e2_co2_g;e2_nox_g;e2_fuel_g;e2_hc_g;e2_co_g;e2_pm25_g;e5_co2_g;e5_nox_g;e5_fuel_g;e5_hc_g;e5_co_g;e5_pm25_g
1;6;PC;80.9;0.429;0.0;0.0;16.55;0.07531;12.8;62.3;20.78;0.0115;6.8;0.0068;0.0498;8,00E-05;18.7;0.0047;6.12;0.0034;0.0299;1,00E-05
2;5;MBT;103.1;0.496;0.0;0.0;24.86;0.07531;20.41;21.2;24.74;0.0135;8.1;0.0081;0.0594;6,00E-05;22.27;0.0054;7.29;0.0041;0.0357;1,00E-05
3;14;PC;79.5;-0.114;0.0;0.0;6.64;0.07531;12.8;-27.9;9.23;0.0048;3.02;0.0032;0.0229;8,00E-05;8.31;0.0019;2.72;0.0016;0.0137;1,00E-05
4;64;PC;65.2;0.269;0.0;0.0;6.83;0.07531;12.8;61.3;20.65;0.0116;6.76;0.0071;0.0516;0.00011;18.59;0.0046;6.09;0.0036;0.031;1,00E-05
5;40;PC;70.0;-1.204;0.0;0.0;3.04;0.07531;12.8;-39.2;7.78;0.0032;2.55;0.003;0.021;0.00023;7.0;0.0013;2.29;0.0015;0.0126;2,00E-05
6;33;LCV;88.4;0.235;0.0;0.0;21.29;0.07531;20.18;16.7;23.56;0.0222;7.52;0.0105;0.0481;0.00207;21.2;0.014;6.77;0.0066;0.0309;0.00021
7;48;PC;72.1;-0.104;0.0;0.0;4.59;0.07531;12.8;-46.0;6.91;0.0036;2.26;0.0024;0.0171;6,00E-05;6.22;0.0014;2.04;0.0012;0.0102;1,00E-05
8;77;LCV;67.2;-0.71;0.0;0.0;3.37;0.07531;20.18;-59.8;8.1;0.004;2.63;0.0031;0.0219;0.00018;7.29;0.0017;2.37;0.0017;0.0135;2,00E-05
9;75;PC;72.5;0.164;0.0;0.0;8.84;0.07531;12.8;-6.6;11.96;0.0065;3.92;0.0039;0.0287;3,00E-05;10.77;0.0026;3.53;0.002;0.0172;0.0
10;70;PC;69.2;-0.31;0.0;0.0;3.85;0.07531;12.8;-48.8;6.55;0.0032;2.14;0.0023;0.0166;0.0001;5.89;0.0013;1.93;0.0012;0.01;1,00E-05
11;76;PC;69.3;-0.216;0.0;0.0;11.99;0.07531;12.8;27.6;16.34;0.0084;5.35;0.0056;0.0404;0.00014;14.7;0.0034;4.81;0.0028;0.0242;1,00E-05
12;94;PC;52.9;-1.119;0.0;0.0;5.19;0.07531;12.8;-14.9;10.9;0.005;3.57;0.004;0.0283;0.00022;9.81;0.002;3.21;0.002;0.017;2,00E-05
13;97;PC;68.7;-0.008;0.0;0.0;6.59;0.07531;12.8;-15.7;10.8;0.0056;3.54;0.0037;0.0266;9,00E-05;9.72;0.0022;3.18;0.0018;0.016;1,00E-05
14;110;PC;61.5;-0.29;0.0;0.0;3.93;0.07531;12.8;-36.7;8.11;0.0039;2.66;0.0029;0.0207;0.00013;7.3;0.0016;2.39;0.0014;0.0124;1,00E-05
