frame,track_id,class,method,speed_kmh,accel_mps2,x_px,y_px
1,5,MBT,homography,0.0,0.0,1135,538
1,6,PC,homography,0.0,0.0,1218,619
2,5,MBT,homography,16.4,0.068,1133,540
2,6,PC,homography,9.26,0.038,1216,621
3,5,MBT,homography,35.45,0.187,1130,541
3,6,PC,homography,29.0,0.161,1214,624
4,5,MBT,homography,41.34,0.239,1129,541
4,6,PC,homography,37.87,0.241,1213,625
5,5,MBT,homography,58.43,0.465,1126,543
5,6,PC,homography,47.56,0.368,1211,627
6,5,MBT,homography,68.75,0.663,1123,545
6,6,PC,homography,56.96,0.55,1209,630
7,5,MBT,homography,79.39,0.961,1120,547
7,6,PC,homography,64.81,0.768,1206,632
8,5,MBT,homography,86.91,1.05,1117,548
8,6,PC,homography,70.41,0.986,1203,635
9,5,MBT,homography,92.92,1.05,1114,550
9,6,PC,homography,75.38,1.05,1201,638
10,5,MBT,homography,93.03,1.05,1113,551
10,6,PC,homography,75.66,1.05,1200,639
11,5,MBT,homography,94.12,1.05,1110,553
11,6,PC,homography,75.08,1.05,1198,641
12,5,MBT,homography,93.8,1.05,1107,554
12,6,PC,homography,76.17,1.05,1194,644
13,5,MBT,homography,95.04,1.05,1104,556
13,6,PC,homography,78.08,1.05,1191,647
14,5,MBT,homography,96.78,1.05,1101,558
14,6,PC,homography,81.29,1.05,1188,651
15,5,MBT,homography,97.62,1.05,1097,559
15,6,PC,homography,84.48,1.05,1185,654
16,5,MBT,homography,94.98,1.05,1096,560
16,6,PC,homography,84.42,1.05,1184,656
17,5,MBT,homography,93.41,0.853,1094,561
17,6,PC,homography,83.97,1.05,1182,658
18,5,MBT,homography,93.56,0.82,1091,563
18,6,PC,homography,83.74,1.05,1179,661
19,5,MBT,homography,95.34,1.05,1087,566
19,6,PC,homography,83.74,1.05,1175,664
20,5,MBT,homography,99.61,1.05,1084,569
20,6,PC,homography,84.24,1.05,1172,667
21,5,MBT,homography,104.18,1.05,1080,571
21,6,PC,homography,85.9,1.05,1169,671
22,5,MBT,homography,104.78,1.05,1079,572
22,6,PC,homography,84.94,1.05,1167,673
23,5,MBT,homography,104.05,1.05,1076,573
23,6,PC,homography,84.28,1.05,1165,676
24,5,MBT,homography,103.26,1.05,1073,575
24,6,PC,homography,83.99,1.05,1162,679
25,5,MBT,homography,104.1,1.05,1068,578
25,6,PC,homography,84.1,1.05,1159,683
26,5,MBT,homography,106.83,1.05,1065,581
26,6,PC,homography,84.4,1.042,1156,686
27,5,MBT,homography,109.06,1.05,1060,583
27,6,PC,homography,85.13,1.05,1151,690
28,5,MBT,homography,107.97,1.05,1059,584
28,6,PC,homography,83.6,0.82,1150,691
29,5,MBT,homography,105.03,1.05,1056,585
29,6,PC,homography,82.43,0.622,1147,695
30,5,MBT,homography,103.2,1.05,1052,587
30,6,PC,homography,82.59,0.612,1143,699
31,5,MBT,homography,102.75,1.05,1049,590
31,6,PC,homography,83.17,0.653,1139,703
32,5,MBT,homography,103.89,1.05,1044,593
32,6,PC,homography,84.03,0.725,1136,708
33,5,MBT,homography,104.93,1.05,1040,596
33,6,PC,homography,84.71,0.771,1132,712
34,5,MBT,homography,103.52,1.031,1039,596
34,6,PC,homography,83.38,0.585,1131,713
35,5,MBT,homography,102.78,0.904,1035,599
35,6,PC,homography,82.23,0.432,1127,716
36,5,MBT,homography,102.45,0.829,1031,601
36,6,PC,homography,81.91,0.379,1123,721
36,14,PC,homography,0.0,0.0,1241,513
37,5,MBT,homography,103.28,0.882,1027,605
37,6,PC,homography,82.28,0.402,1119,726
37,14,PC,homography,11.3,0.047,1240,514
38,5,MBT,homography,104.12,0.931,1022,607
38,6,PC,homography,82.98,0.457,1114,731
38,14,PC,homography,29.16,0.158,1239,515
39,5,MBT,homography,104.7,0.953,1017,610
39,6,PC,homography,83.5,0.49,1110,735
39,14,PC,homography,54.1,0.384,1237,517
40,5,MBT,homography,103.22,0.772,1015,611
40,6,PC,homography,82.35,0.36,1108,737
40,14,PC,homography,62.93,0.499,1237,517
41,5,MBT,homography,101.44,0.574,1011,613
41,6,PC,homography,81.16,0.233,1104,740
41,14,PC,homography,65.72,0.549,1236,518
42,5,MBT,homography,100.57,0.473,1007,616
42,6,PC,homography,80.75,0.188,1100,746
42,14,PC,homography,71.91,0.721,1234,519
43,5,MBT,homography,100.41,0.441,1002,619
